curso;unidade
SSS;DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD
SSSS;DEPARTAMENTO DE ODONTOLOGIA
SUPERVISÃO EAD;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TEATRO;CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES
TÉCNICO DE MÚSICA (CANTO);ESCOLA DE MÚSICA
TÉCNICO DE MÚSICA (INSTRUMENTO);ESCOLA DE MÚSICA
TÉCNICO DE MÚSICA (PROCESSOS FONOGRÁFICOS);ESCOLA DE MÚSICA
TÉCNICO DE MÚSICA (REGÊNCIA);ESCOLA DE MÚSICA
TECNICO EM ADMINISTRAÇÃO;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM ADMINISTRAÇÃO - MEDIOTEC - 2017.2 - MOSSORÓ;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM ADMINISTRAÇÃO - MEDIOTEC - 2017.2 - PATÚ;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM AGENTE COMUNITÁRIO DE SAÚDE;ESCOLA DE SAÚDE
TECNICO EM AGRICULTURA CORRESPONDENTE AO ENSINO MEDIO;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM AGRICULTURA - MEDIOTEC - 2017.2 - MACAÍBA;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM AGRICULTURA - MEDIOTEC - 2017.2 - PASSA E FICA;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM AGRICULTURA - MEDIOTEC - 2017.2 - SENADOR ELÓI DE SOUZA;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM AGRICULTURA - MEDIOTEC - 2017.2 - VERA CRUZ;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM AGROECOLOGIA CONCOMITANTE - APODI - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM AGROECOLOGIA CONCOMITANTE - SÃO JOSÉ DO MIPIBÚ - 2015.3;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM AGROECOLOGIA CONCOMITANTE - TOUROS - 2015.3;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM AGROECOLOGIA - EAJ - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM AGROECOLOGIA - JOÃO CÂMARA - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM AGROECOLOGIA - MEDIOTEC - 2017.2 - ASSÚ;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM AGROECOLOGIA - PEDRO AVELINO;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM AGROINDÚSTRIA A DISTÂNCIA - E-TEC;ESCOLA AGRÍCOLA DE JUNDIAÍ
TECNICO EM AGROINDUSTRIA A DISTÂNCIA ETEC SUBSEQUENTE 1200HS;ESCOLA AGRÍCOLA DE JUNDIAÍ
TECNICO EM AGROINDUSTRIA CONCOMITANTE;ESCOLA AGRÍCOLA DE JUNDIAÍ
TECNICO EM AGROINDUSTRIA CORRESPONDENTE AO ENSINO MEDIO;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM AGROINDÚSTRIA - EAJ - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM AGROINDÚSTRIA ETEC MEDIOTEC;ESCOLA AGRÍCOLA DE JUNDIAÍ
TECNICO EM AGROINDUSTRIA SUBSEQUENTE;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM AGRONEGÓCIO 2015.2 - EAJ - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM AGRONEGÓCIO A DISTANCIA ETEC;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM AGRONEGÓCIO SUBS. - EAJ - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM AGRONEGÓCIO SUBS. - TOUROS - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM AGRONEGÓCIO - TOUROS;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM AGROPECUÁRIA A DISTÂNCIA - E-TEC;ESCOLA AGRÍCOLA DE JUNDIAÍ
TECNICO EM AGROPECUARIA CONCOMITANTE;ESCOLA AGRÍCOLA DE JUNDIAÍ
TECNICO EM AGROPECUÁRIA CORRESPONDENTE AO ENSINO MÉDIO;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM AGROPECUÁRIA - JOÃO CÂMARA;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM AGROPECUÁRIA - MEDIOTEC - 2017.2 - MACAÍBA;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM AGROPECUÁRIA - MEDIOTEC - 2017.2 - MONTE ALEGRE;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM AGROPECUÁRIA - MEDIOTEC - 2017.2 - MOSSORÓ;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM AGROPECUÁRIA - MEDIOTEC - 2017.2 - SANTO ANTÔNIO;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TECNICO EM AGROPECUARIA SUBSEQUENTE;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM AGROPECUÁRIA SUBS. - TOUROS - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM AGROPECUÁRIA SUBS. - VERA CRUZ - PRON;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM AGROPECUÁRIA - VERA CRUZ;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM ALIMENTAÇÃO ESCOLAR A DISTÂNCIA E-TEC;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM ANÁLISES CLÍNICAS;ESCOLA DE SAÚDE
TÉCNICO EM APICULTURA A DISTÂNCIA - E-TEC;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM APICULTURA CONCOMITANTE - SERRA DO MEL - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM AQUICULTURA A DISTÂNCIA E-TEC;ESCOLA AGRÍCOLA DE JUNDIAÍ
TECNICO EM AQUICULTURA CONCOMITANTE;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM AQUICULTURA CORRESPONDENTE AO ENSINO MÉDIO;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM AQUICULTURA - EAJ - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TECNICO EM AQUICULTURA SUBSEQUENTE;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM ÁUDIO;ESCOLA DE MÚSICA
TÉCNICO EM AUTOMAÇÃO INDUSTRIAL - IMD - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM CERÂMICA - NATAL - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM CITOPATOLOGIA - NATAL - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM COMÉRCIO - CAICÓ;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM COMÉRCIO EXTERIOR A DISTÂNCIA E-TEC;ESCOLA AGRÍCOLA DE JUNDIAÍ
TECNICO EM CONTABILIDADE;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM COOPERATIVISMO A DISTÂNCIA E-TEC;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM COOPERATIVISMO A DISTANCIA ETEC MEDIOTEC;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM CUIDADOS DE IDOSOS;ESCOLA DE SAÚDE
TÉCNICO EM EDIFICAÇÕES - 2013.2 - EAJ - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM EDIFICAÇÕES - 2014.1 - EAJ - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM EDIFICAÇÕES 2015.2 - EAJ - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM EDIFICAÇÕES CONCOMITANTE - NATAL - 2015.3;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM ELETROMECÂNICA CONCOMITANTE - MOSSORÓ - 2015.3;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM ELETROMECÂNICA - MEDIOTEC - 2017.2 - MOSSORÓ;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM ELETRÔNICA - IMD - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM FINANÇAS;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM FRUTICULTURA - MEDIOTEC - 2017.2 - ASSÚ;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM FRUTICULTURA - MEDIOTEC - 2017.2 - GOV. DIX-SEPT ROSADO;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM FRUTICULTURA - MEDIOTEC - 2017.2 - IPANGUAÇU;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM FRUTICULTURA - TIBAU;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM GASTRONOMIA SUBSEQUENTE;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM GUIA DE TURISMO CONCOMITANTE - EXTREMOZ - 2015.3;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM GUIA DE TURISMO CONCOMITANTE - SANTA CRUZ - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO  EM GUIA DE TURISMO-CURRAIS NOVOS-PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM GUIA DE TURISMO - EAJ - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM GUIA DE TURISMO - MARTINS;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM GUIA DE TURISMO - MEDIOTEC - 2017.2 - PRESIDENTE JUSCELINO;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICOEM GUIA DE TURISMO-PAU DOS FERROS-PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM GUIA DE TURISMO - TOUROS;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM GUIA DE TURISMO - TOUROS - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM HOSPEDAGEM - NATAL;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM INFORMÁTICA 2012;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM INFORMÁTICA A DISTÂNCIA - E-TEC;ESCOLA AGRÍCOLA DE JUNDIAÍ
TECNICO EM INFORMATICA CONCOMITANTE;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM INFORMÁTICA CONCOMITANTE - CARAÚBAS - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM INFORMÁTICA CONCOMITANTE - JARDIM DO SERIDÓ - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM INFORMÁTICA CONCOMITANTE - MOSSORÓ - 2015.3;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM INFORMÁTICA CONCOMITANTE - SÃO GONÇALO DO AMARANTE - 2015.3;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TECNICO EM INFORMATICA CORRESPONDENTE AO ENSINO MEDIO;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM INFORMÁTICA - EAJ - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM INFORMÁTICA PARA INTERNET - IMD - PRON;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM INFORMÁTICA - PENDÊNCIAS;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TECNICO EM INFORMATICA SUBSEQUENTE;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM INSTRUMENTO MUSICAL - PRONATEC 2014.2;ESCOLA DE MÚSICA
TÉCNICO EM INSTRUMENTO - PRONATEC 2012.2 - CRUZETA/RN;ESCOLA DE MÚSICA
TECNICO EM LOGISTICA;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM LOGÍSTICA 2015.2 - EAJ - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM LOGÍSTICA CONCOMITANTE - MACAÍBA - 2015.3;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM LOGÍSTICA - EAJ - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM LOGÍSTICA - MEDIOTEC - 2017.2 - PATÚ;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM LOGÍSTICA - NATAL;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM LOGÍSTICA - PARNAMIRIM;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM LOGÍSTICA - PAU DOS FERROS - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM LOGÍSTICA - SÃO GONÇALO DO AMARANTE;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM LOGÍSTICA - SERRA DO SÃO BENTO;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM LOGÍSTICA - TOUROS;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM MANUTENÇÃO DE SUPORTE EM INFORMÁTICA (ETEC);ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA A DISTANCIA ETEC;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA A DISTÂNCIA - E-TEC;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA - APODI - 2015.3;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA - ETEC - AREIA BRANCA;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA - ETEC - ASSÚ;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMATICA ETEC MEDIOTEC MACAIBA;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA - ETEC - SÃO P. POTENGI;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA - ETEC - TOUROS;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM MANUT. E SUPORTE EM INFORMÁTICA CONC. - ASSU - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM MANUT. E SUPORTE EM INFORMÁTICA CONC. - PARELHAS - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM MECÂNICA CONCOMITANTE - NATAL - 2015.3;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM MECÂNICA - MEDIOTEC - 2017.2 - MOSSORÓ;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM MECÂNICA - MEDIOTEC - 2017.2 - NATAL;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM MEIO AMBIENTE 2015.2 - EAJ - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM MEIO AMBIENTE CONCOMITANTE - CAICÓ - 2015.3;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM MEIO AMBIENTE CONCOMITANTE - NATAL - 2015.3;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM MEIO AMBIENTE - NATAL - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM METALÚRGICA CONCOMITANTE - MOSSORÓ - 2015.3;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM MINERAÇÃO - CURRAIS NOVOS;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM MODELAGEM DO VESTUÁRIO - MEDIOTEC - 2017.2 - NATAL;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM MULTIMEIOS DIDÁTICOS E-TEC;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM PLÁSTICOS - NATAL - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM PRODUÇÃO DE MODA - MEDIOTEC - 2017.2 - NATAL;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM PROGRAMAÇÃO DE JOGOS DIGITAIS IMD PRON;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TECNICO EM QUALIDADE;ESCOLA AGRÍCOLA DE JUNDIAÍ
TECNICO EM QUIMICA;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM QUÍMICA - MEDIOTEC - 2017.2 - NATAL;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM REDES DE COMPUTADORES A DISTANCIA ETEC;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM REDES DE COMPUTADORES A DISTANCIA ETEC MEDIOTEC MACAIBA;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICOEM REDES DE COMPUTADORES - IMD - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM SAÚDE BUCAL;ESCOLA DE SAÚDE
TÉCNICO EM SECRETARIA ESCOLAR A DISTÂNCIA - E-TEC;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM SEGURANÇA DO TRABALHO - 2013.2 - EAJ - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM SEGURANÇA DO TRABALHO - 2014.1 - EAJ - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM SEGURANÇA DO TRABALHO - 2014.1 - NATAL - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM SEGURANÇA DO TRABALHO CONC. - APODI - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM SEGURANÇA DO TRABALHO CONC. - JUCURUTU - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM SEGURANÇA DO TRABALHO CONC. - MOSSORÓ - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM SEGURANÇA DO TRABALHO CONC. - NATAL - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM SERVIÇOS JURÍDICOS - NATAL;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM SERVIÇOS JURÍDICOS - PARNAMIRIM;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM SERVIÇOS JURÍDICOS - TOUROS;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM SISTEMAS DE ENERGIAS RENOVÁVEIS-NATAL-PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM TÊXTIL - NATAL - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM VESTUÁRIO CONCOMITANTE - EXTREMOZ - 2015.3;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM VESTUÁRIO - NATAL - PRONATEC;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM VESTUÁRIO SUBSEQUENTE - EXTREMOZ - 2015.3;ESCOLA AGRICOLA DE JUNDIAI - PRONATEC
TÉCNICO EM VETERINÁRIA;ESCOLA AGRÍCOLA DE JUNDIAÍ
TÉCNICO EM VIGILÂNCIA EM SAÚDE;ESCOLA DE SAÚDE
TECNICO EM ZOOTECNIA CORRESPONDENTE AO ENSINO MEDIO;ESCOLA AGRÍCOLA DE JUNDIAÍ
TECNICO  EM ZOOTECNIA SUBSEQUENTE;ESCOLA AGRÍCOLA DE JUNDIAÍ
TECNOLOGIA DA INFORMAÇÃO;INSTITUTO METROPOLE DIGITAL
TECNOLOGIA DA INFORMAÇÃO - TRE/RN - TURMA 02;INSTITUTO METROPOLE DIGITAL
TECNOLOGIA EDUCACIOONAL;DEPARTAMENTO DE PRÁTICAS EDUCACIONAIS E CURRÍCULO
TESTE;DEPARTAMENTO DE LETRAS - CERES
TESTE;DEPARTAMENTO DE ANTROPOLOGIA
TESTE;PROGRAMA DE PÓS-GRADUAÇÃO EM HISTÓRIA - CERES
TESTE;PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO ESPECIAL
TRATAMENTO DE MATERIAIS ARQUEOLÓGICOS EM LABORATÓRIO;DEPARTAMENTO DE HISTÓRIA
TREINAMENTO DE FORÇA - TURMA 3;PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO FÍSICA
TURISMO;FACULDADE DE ENGENHARIA, LETRAS E CIÊNCIAS SOCIAIS DO SERIDÓ - FELCS
TURISMO;CENTRO DE CIÊNCIAS SOCIAIS APLICADAS
TURISMO RESPONSÁVEL;PROGRAMA DE PÓS-GRADUAÇÃO EM TURISMO
URGÊNCIA E EMERGÊNCIA EM ENFERMAGEM;ESCOLA DE SAÚDE
V CURSO DE ESPECIALIZAÇÃO EM PSICOLOGIA DA SAÚDE: DESENVOLVIMENTO E HOSPITALIZA;DEPARTAMENTO DE PSICOLOGIA
V CURSO DE ESPECIALIZAÇÃO EM SAÚDE DA FAMILIA;DEPARTAMENTO DE PEDIATRIA
VIII CURSO DE ESPECIALIZAÇÃO EM PSICOLOGIA DA SAUDE: DESENVOLVIMENTO E HOSPITALI;DEPARTAMENTO DE PSICOLOGIA
VV;DEPARTAMENTO DE ARTES
XX CCCC;INSTITUTO METROPOLE DIGITAL
XX DO CC;INSTITUTO METROPOLE DIGITAL
XXXX;DEPARTAMENTO DE ENGENHARIA DE MATERIAIS
XXXXXXXXXXXXX;DEPARTAMENTO DE BIOLOGIA
ZOOTECNIA;ESCOLA AGRÍCOLA DE JUNDIAÍ
Z- OUTROS;DDP/PROGESP - DIRETORIA DE DESENVOLVIMENTO DE PESSOAS
